geometry,id
POINT (-70.70500000000001 -33.45500000000001),0
POINT (-70.655 -33.425),1
POINT (-70.68499999999999 -33.485),2
POINT (-70.70500000000001 -33.44500000000001),3
POINT (-70.68499999999999 -33.455),4
POINT (-70.63499999999999 -33.455),5
POINT (-70.69499999999999 -33.455),6
POINT (-70.69499999999999 -33.47500000000001),7
POINT (-70.61499999999999 -33.545),8
POINT (-70.61499999999999 -33.515),9
POINT (-70.655 -33.44500000000001),10
POINT (-70.645 -33.515),11
POINT (-70.645 -33.47500000000001),12
POINT (-70.63499999999999 -33.545),13
POINT (-70.63499999999999 -33.465),14
POINT (-70.59499999999998 -33.515),15
POINT (-70.69499999999999 -33.53499999999999),16
POINT (-70.715 -33.37499999999999),17
POINT (-70.675 -33.41500000000001),18
POINT (-70.66500000000001 -33.465),19
POINT (-70.655 -33.455),20
POINT (-70.66500000000001 -33.44500000000001),21
POINT (-70.645 -33.44500000000001),22
POINT (-70.785 -33.505),23
POINT (-70.745 -33.365),24
POINT (-70.655 -33.415),25
POINT (-70.565 -33.515),26
POINT (-70.70500000000001 -33.465),27
POINT (-70.69499999999999 -33.44500000000001),28
POINT (-70.68499999999999 -33.425),29
POINT (-70.675 -33.44500000000001),30
POINT (-70.675 -33.55500000000001),31
POINT (-70.66500000000001 -33.545),32
POINT (-70.645 -33.495),33
POINT (-70.66500000000001 -33.51500000000001),34
POINT (-70.68499999999999 -33.43500000000001),35
POINT (-70.60499999999999 -33.51500000000001),36
POINT (-70.675 -33.45500000000001),37
POINT (-70.63499999999999 -33.51500000000001),38
POINT (-70.645 -33.485),39
POINT (-70.655 -33.43500000000001),40
POINT (-70.70500000000001 -33.595),41
POINT (-70.70500000000001 -33.58499999999999),42
POINT (-70.645 -33.45500000000001),43
POINT (-70.625 -33.47500000000001),44
POINT (-70.645 -33.505),45
POINT (-70.77500000000001 -33.52500000000001),46
POINT (-70.575 -33.40500000000001),47
POINT (-70.61499999999998 -33.495),48
POINT (-70.645 -33.465),49
POINT (-70.59499999999998 -33.58499999999999),50
POINT (-70.655 -33.485),51
POINT (-70.47500000000001 -33.53499999999999),52
POINT (-70.66500000000001 -33.43500000000001),53
