direccion,precio,gastos_comunes,caracteristicas,num_caracteristicas,fecha_descarga,fecha_publicacion,titulo,url,latitud,longitud,ciudad,precio_range,id,geometry,from_id,to_id,travel_time,routes,board_stops,alight_stops,ride_times,access_time,egress_time,transfer_time,wait_times,total_time,n_iterations
"Av. Vicuña Mackenna 1194, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",690000.0,Gastos comunes aproximados $ 70.000,70 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 20 días por Assetplan Chile,Edificio Av. Vicuña Mackenna (1 Est. 1 Bod.) Vista Surorie,https://www.portalinmobiliario.com/MLC-1694352940-edificio-av-vicuna-mackenna-1-est-1-bod-vista-surorie-_JM#position=19&search_layout=stack&type=item&tracking_id=208e6b17-ef98-46db-9758-1d8ae5dc6f69,-33.4563625,-70.62881968677635,Santiago,"(500000.0, 1000000.0]",15,POINT (-70.62881968677635 -33.4563625),15,14995,22.0,"['L3', '506']","['35', 'PA446']","['116', 'PA452']","[1.9, 8.0]",0.9,4.6,2.1,"[1.1, 2.1]",20.7,1
"Miraflores 666, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",800000.0,Gastos comunes aproximados $ 450.000,200 m² totales / 4 dormitorios / 3 baños,3,2023-06-13,Publicado hace 3 meses,Elegante Departamento Sector Bellas Artes..arriendo En Pesos,https://www.portalinmobiliario.com/MLC-1391291005-elegante-departamento-sector-bellas-artesarriendo-en-pesos-_JM#position=3&search_layout=stack&type=item&tracking_id=e01cb14a-a9ae-46a5-8c2e-a7d652e22cb6,-33.435183845714285,-70.64607121142858,Santiago,"(500000.0, 1000000.0]",41,POINT (-70.64607121142858 -33.43518384571428),41,14995,26.0,"['L5R', 'L2R', '506']","['7', '4', 'PA450']","['4', '70', 'PA452']","[2.6, 4.4, 3.0]",5.0,4.6,1.3,"[3.5, 1.1, 2.0]",27.5,1
"Irarrázaval, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",685000.0,Gastos comunes aproximados $ 115.000,68 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 28 días por Houm,Departamento Irarrázaval Id: 44950,https://www.portalinmobiliario.com/MLC-1674946876-departamento-irarrazaval-id-44950-_JM#position=11&search_layout=stack&type=item&tracking_id=e01cb14a-a9ae-46a5-8c2e-a7d652e22cb6,-33.4549221,-70.628254,Santiago,"(500000.0, 1000000.0]",47,POINT (-70.628254 -33.4549221),47,14995,22.0,['506'],['PD564'],['PA452'],[13.4],1.7,4.6,0.0,[2.8],22.4,15
"Avenida Víctor Jara, Metro Ecuador, Estación Central, RM (Metropolitana)",700000.0,,60 m² totales / 3 dormitorios / 1 baño,3,2023-06-13,Publicado hace 18 días por Houm,Departamento Avenida Víctor Jara Id: 62972,https://www.portalinmobiliario.com/MLC-1388598105-departamento-avenida-victor-jara-id-62972-_JM#position=18&search_layout=stack&type=item&tracking_id=e01cb14a-a9ae-46a5-8c2e-a7d652e22cb6,-33.4510131,-70.6819706,Santiago,"(500000.0, 1000000.0]",51,POINT (-70.6819706 -33.4510131),51,14995,24.0,['507'],['PA368'],['PA433'],[6.8],8.3,3.4,0.0,[1.6],20.1,3
"Catedral 2482, Santiago, Chile, Barrio Yungay, Santiago, RM (Metropolitana)",750000.0,Gastos comunes aproximados $ 100.000,120 m² totales / 4 dormitorios / 2 baños,3,2023-06-13,Publicado hace 4 meses,Luminoso Y Amplio Departamento A Pasos Del Metro Cumming,https://www.portalinmobiliario.com/MLC-1388595195-luminoso-y-amplio-departamento-a-pasos-del-metro-cumming-_JM#position=49&search_layout=stack&type=item&tracking_id=e01cb14a-a9ae-46a5-8c2e-a7d652e22cb6,-33.43950635,-70.67127296666668,Santiago,"(500000.0, 1000000.0]",73,POINT (-70.67127296666668 -33.43950635),73,14995,23.0,"['L5V', 'L2R', '506e']","['78', '4', 'PA450']","['4', '70', 'PA452']","[3.2, 4.4, 2.6]",4.6,4.6,1.3,"[2.8, 2.0, 1.8]",27.3,2
"Llano Subercaseaux 3747, San Miguel, Chile, El Llano, San Miguel, RM (Metropolitana)",750000.0,Gastos comunes aproximados $ 115.000,90 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 55 días,Amplio Departamento ,https://www.portalinmobiliario.com/MLC-1560608764-amplio-departamento-_JM#position=10&search_layout=stack&type=item&tracking_id=f17c9bee-1cbe-45c9-b4be-6163c6a7726d,-33.4801997,-70.6490546,Santiago,"(500000.0, 1000000.0]",81,POINT (-70.6490546 -33.4801997),81,14995,23.0,"['L2R', '507']","['45', 'PA450']","['70', 'PA322']","[4.4, 3.6]",5.2,3.3,1.3,"[3.2, 2.4]",23.3,18
"Av. Irarrázaval 5455, Ñuñoa, Chile, Plaza Egaña, Ñuñoa, RM (Metropolitana)",700000.0,,63 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 41 días,Departamento Nuevo - Proyecto Fundamenta Eco Irarrazaval,https://www.portalinmobiliario.com/MLC-1391918779-departamento-nuevo-proyecto-fundamenta-eco-irarrazaval-_JM#position=25&search_layout=stack&type=item&tracking_id=f17c9bee-1cbe-45c9-b4be-6163c6a7726d,-33.4518884,-70.631026,Santiago,"(500000.0, 1000000.0]",95,POINT (-70.63102600000001 -33.4518884),95,14995,26.0,"['516', 'L3', '506']","['PD328', '35', 'PA446']","['PD427', '116', 'PA452']","[0.6, 1.9, 8.0]",2.3,4.6,3.0,"[1.9, 1.1, 1.3]",24.5,1
"Metro Irarrazaval, Estadio Nacional, Ñuñoa, RM (Metropolitana)",800000.0,Gastos comunes aproximados $ 68.000,84 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 5 días por Nexxos,Amplio Departamento En Arriendo De 3 Dorm. En Ñuñoa,https://www.portalinmobiliario.com/MLC-1726366140-amplio-departamento-en-arriendo-de-3-dorm-en-nunoa-_JM#position=12&search_layout=stack&type=item&tracking_id=9c4c46fe-ddef-417c-9fd2-da450c01b287,-33.4528654,-70.6282039,Santiago,"(500000.0, 1000000.0]",122,POINT (-70.6282039 -33.4528654),122,14995,24.0,"['L3', '506e']","['35', 'PA446']","['116', 'PA452']","[1.9, 7.1]",2.8,4.6,2.1,"[1.1, 2.8]",22.4,3
"Avenida Vicuña Mackenna 881, Santiago, Ñuñoa, Chile, Barrio Diez de Julio, Santiago, RM (Metropolitana)",700000.0,Gastos comunes aproximados $ 120.000,70 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 1 día,Arriendo Depto Amoblado 3 Habitaciones Santiago (5189),https://www.portalinmobiliario.com/MLC-1392747835-arriendo-depto-amoblado-3-habitaciones-santiago-5189-_JM#position=7&search_layout=stack&type=item&tracking_id=62a1104f-8853-4d26-8010-4eb8aa738e3d,-33.452683384,-70.63080866600001,Santiago,"(500000.0, 1000000.0]",141,POINT (-70.63080866600001 -33.452683384),141,14995,26.0,['507'],['PD564'],['PA322'],[15.1],8.3,3.3,0.0,[2.4],29.0,10
"Santo Domingo 1443, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",650000.0,Gastos comunes aproximados $ 50.000,90 m² totales / 5 dormitorios / 2 baños,3,2023-06-13,Publicado hace 1 día por Nexxos,Amplio Dpto En Arriendo De 5 Dorm. En Santiago Centro,https://www.portalinmobiliario.com/MLC-1392725925-amplio-dpto-en-arriendo-de-5-dorm-en-santiago-centro-_JM#position=41&search_layout=stack&type=item&tracking_id=62a1104f-8853-4d26-8010-4eb8aa738e3d,-33.43675120612245,-70.65763597142856,Santiago,"(500000.0, 1000000.0]",156,POINT (-70.65763597142856 -33.43675120612245),156,14995,20.0,"['L2R', '507']","['4', 'PA450']","['70', 'PA322']","[4.4, 3.6]",6.1,3.3,1.3,"[2.2, 1.7]",22.5,3
