from_id,to_id,travel_time,routes,board_stops,alight_stops,ride_times,access_time,egress_time,transfer_time,wait_times,total_time,n_iterations
0,14996,63.0,"['J05', 'L5V', 'L6', '507c']","['PJ276', '31', '61', 'PD115']","['PJ97', '61', '105', 'PD590']","[10.4, 16.3, 2.4, 4.9]",4.3,11.3,7.1,"[6.0, 2.6, 1.7, 1.1]",68.0,1
1,14996,48.0,"['301', 'L3', '325']","['PB1970', '12', 'PD428']","['PA48', '35', 'PD892']","[4.1, 9.5, 18.0]",0.6,4.7,5.4,"[1.4, 2.6, 3.4]",49.8,2
2,14996,52.0,"['102', 'L6', '519']","['PH44', '101', 'PD115']","['PI58', '105', 'PD590']","[3.0, 15.4, 5.1]",5.4,11.3,5.9,"[2.3, 2.8, 1.7]",53.0,1
3,14996,78.0,"['H06', 'MTN', 'L6', '508']","['PH76', 'PT0214', '102', 'PD529']","['PH563', 'PT0212', '105', 'PD530']","[7.5, 4.6, 12.6, 3.0]",24.7,12.0,7.1,"[1.6, 1.5, 2.1, 4.0]",80.8,1
4,14996,53.0,"['I10', 'L5R', '519']","['PI86', '76', 'PD427']","['PA191', '35', 'PD590']","[2.7, 12.3, 15.0]",2.0,11.3,2.8,"[3.7, 3.3, 2.6]",55.8,3
5,14996,32.0,"['506', '506e']","['PA442', 'PD524']","['PD524', 'PD590']","[1.6, 10.6]",5.3,11.3,0.0,"[2.4, 1.1]",32.4,1
6,14996,64.0,"['I16', 'L6', '519']","['PI1167', '101', 'PD115']","['PI1586', '105', 'PD590']","[3.0, 15.4, 5.1]",5.1,11.3,19.8,"[1.5, 2.5, 1.9]",65.7,1
7,14996,63.0,"['I16', 'L6', '519']","['PI1167', '101', 'PD115']","['PI1586', '105', 'PD590']","[3.0, 15.4, 5.1]",5.1,11.3,19.8,"[1.4, 3.3, 1.0]",65.4,1
8,14996,47.0,"['L4A', 'L4V', '516']","['43', '99', 'PD553']","['99', '79', 'PD579']","[4.3, 8.7, 5.4]",7.8,11.4,2.8,"[5.7, 3.2, 1.3]",50.6,2
9,14996,49.0,"['210e', 'L4V', '506']","['PE121', '98', 'PD553']","['PE126', '79', 'PD579']","[6.2, 10.3, 5.0]",12.5,11.4,3.3,"[1.7, 2.1, 2.2]",54.7,1
10,14996,39.0,"['L1', 'L3', 'L6', '106']","['46', '15', '106', 'PD529']","['15', '106', '105', 'PD61']","[0.8, 10.2, 1.4, 2.7]",0.5,11.1,4.0,"[1.3, 3.9, 1.4, 1.8]",39.0,1
