from_id,to_id,travel_time,routes,board_stops,alight_stops,ride_times,access_time,egress_time,transfer_time,wait_times,total_time,n_iterations
0,14995,28.0,"['L3', '506e']","['106', 'PA446']","['116', 'PA452']","[5.8, 7.1]",3.1,4.6,2.1,"[4.1, 1.1]",27.9,8
1,14995,70.0,"['E07', 'L5R', 'L6', 'L2R', '506']","['PE403', '98', '61', '29', 'PA450']","['PE151', '61', '29', '70', 'PA452']","[23.0, 11.9, 4.0, 1.6, 3.0]",5.9,4.6,2.4,"[1.8, 1.7, 3.4, 2.8, 1.9]",68.0,1
2,14995,33.0,"['L3', '506e']","['24', 'PA446']","['116', 'PA452']","[11.7, 7.1]",1.7,4.6,2.1,"[4.2, 1.5]",32.9,15
3,14995,49.0,"['415e', 'L1', 'L2R', '507']","['PC323', '58', '44', 'PA450']","['PC105', '44', '70', 'PA322']","[3.7, 18.3, 2.6, 3.6]",5.1,3.3,5.8,"[3.6, 2.1, 3.1, 1.0]",52.0,1
4,14995,50.0,"['415e', 'L1', 'L2R', '507']","['PC323', '58', '44', 'PA450']","['PC105', '44', '70', 'PA322']","[3.7, 18.3, 2.6, 3.6]",5.1,3.3,5.8,"[1.9, 2.7, 1.7, 3.4]",51.9,1
5,14995,49.0,"['216', 'L1', 'L2R', '507']","['PC103', '58', '44', 'PA450']","['PC105', '44', '70', 'PA322']","[2.2, 18.3, 2.6, 3.6]",5.1,3.3,5.8,"[1.6, 1.5, 3.0, 1.8]",48.8,1
6,14995,28.0,"['L3', '506e']","['106', 'PA446']","['116', 'PA452']","[5.8, 7.1]",3.1,4.6,2.1,"[1.2, 4.0]",27.9,17
7,14995,32.0,"['L3', '507']","['117', 'PA446']","['116', 'PA322']","[4.1, 9.1]",8.8,3.3,2.1,"[3.8, 1.5]",32.6,20
8,14995,33.0,"['L3', '507']","['117', 'PA446']","['116', 'PA322']","[4.1, 9.1]",8.8,3.3,2.1,"[3.2, 2.6]",33.1,17
9,14995,30.0,"['L6', 'L2R', '509']","['106', '29', 'PA450']","['29', '70', 'PA452']","[8.9, 1.6, 3.3]",5.0,4.6,1.3,"[3.1, 3.2, 1.8]",32.7,1
10,14995,33.0,"['L3', '506e']","['117', 'PA446']","['116', 'PA452']","[4.1, 7.1]",8.9,4.6,2.1,"[3.2, 2.7]",32.7,10
11,14995,49.0,"['107', 'L2R', '506']","['PB103', '20', 'PA450']","['PB7', '70', 'PA452']","[13.1, 13.3, 3.0]",9.5,4.6,2.7,"[1.9, 1.2, 2.7]",51.9,1
12,14995,49.0,"['107', 'L2R', '506e']","['PB104', '20', 'PA450']","['PB7', '70', 'PA452']","[12.3, 13.3, 2.6]",6.3,4.6,2.7,"[1.8, 1.8, 1.6]",46.8,4
13,14995,28.0,"['L3', '506e']","['106', 'PA446']","['116', 'PA452']","[5.8, 7.1]",2.5,4.6,2.1,"[3.4, 2.6]",28.2,8
14,14995,28.0,"['L3', '506e']","['106', 'PA446']","['116', 'PA452']","[5.8, 7.1]",2.5,4.6,2.1,"[2.2, 2.3]",26.6,14
15,14995,22.0,"['L3', '506']","['35', 'PA446']","['116', 'PA452']","[1.9, 8.0]",0.9,4.6,2.1,"[1.1, 2.1]",20.7,1
16,14995,40.0,"['L4R', 'L3', '510', '509']","['62', '24', 'PA446', 'PA450']","['24', '116', 'PA450', 'PA452']","[2.0, 11.7, 5.8, 3.0]",4.3,4.6,2.1,"[1.2, 3.7, 2.7, 1.6]",42.8,1
17,14995,49.0,"['107', 'L2R', '506e']","['PB104', '20', 'PA450']","['PB7', '70', 'PA452']","[12.3, 13.3, 2.6]",6.3,4.6,2.7,"[3.8, 1.8, 1.0]",48.2,6
18,14995,40.0,"['L4R', 'L3', '507c', '509']","['62', '24', 'PA446', 'PA57']","['24', '116', 'PA449', 'PA452']","[2.0, 11.7, 3.4, 4.8]",4.3,4.6,3.3,"[1.5, 4.0, 1.0, 1.5]",42.1,1
19,14995,49.0,"['107', 'L2R', '506e']","['PB104', '20', 'PA450']","['PB7', '70', 'PA452']","[12.3, 13.3, 2.6]",6.3,4.6,2.7,"[4.5, 2.3, 1.2]",49.6,1
20,14995,49.0,"['107', 'L2R', '506e']","['PB104', '20', 'PA450']","['PB7', '70', 'PA452']","[12.3, 13.3, 2.6]",6.3,4.6,2.7,"[1.4, 2.9, 3.5]",49.3,5
21,14995,50.0,"['107', 'L2R', '506e']","['PB104', '20', 'PA450']","['PB7', '70', 'PA452']","[12.3, 13.3, 2.6]",6.3,4.6,2.7,"[2.1, 1.7, 3.5]",48.8,3
22,14995,49.0,"['107', 'L2R', '506e']","['PB104', '20', 'PA450']","['PB7', '70', 'PA452']","[12.3, 13.3, 2.6]",6.3,4.6,2.7,"[1.1, 3.4, 3.4]",49.4,6
23,14995,49.0,"['107', 'L2R', '506e']","['PB104', '20', 'PA450']","['PB7', '70', 'PA452']","[12.3, 13.3, 2.6]",6.3,4.6,2.7,"[4.7, 2.8, 1.3]",50.4,3
24,14995,49.0,"['107', 'L2R', '506e']","['PB104', '20', 'PA450']","['PB7', '70', 'PA452']","[12.3, 13.3, 2.6]",6.3,4.6,2.7,"[3.5, 1.3, 3.1]",49.4,4
25,14995,49.0,"['272', 'L2R', '506']","['PB104', '100', 'PA450']","['PB683', '70', 'PA452']","[11.7, 14.4, 3.0]",6.3,4.6,2.4,"[3.3, 2.1, 1.7]",49.5,9
26,14995,75.0,"['B01', 'L2R', '507']","['PB1618', '100', 'PA450']","['PB682', '70', 'PA322']","[10.4, 14.4, 3.6]",31.5,3.3,1.9,"[7.5, 1.1, 1.5]",75.3,7
27,14995,49.0,"['107', 'L2R', '506e']","['PB104', '20', 'PA450']","['PB7', '70', 'PA452']","[12.3, 13.3, 2.6]",6.3,4.6,2.7,"[4.0, 1.9, 2.2]",49.6,2
28,14995,37.0,"['L1', 'L2R', '509']","['74', '44', 'PA450']","['44', '70', 'PA452']","[9.9, 2.6, 3.3]",10.1,4.6,1.3,"[2.5, 3.0, 2.3]",39.5,2
29,14995,36.0,"['L3', '507']","['24', 'PA446']","['116', 'PA322']","[11.7, 9.1]",4.7,3.3,2.1,"[2.3, 3.5]",36.8,21
30,14995,39.0,"['L1', '121']","['74', 'PA273']","['83', 'PA276']","[11.3, 4.2]",12.0,4.3,5.8,"[2.3, 1.2]",41.1,1
31,14995,71.0,"['C19', 'L1', 'L2R', '509']","['PC615', '58', '44', 'PA450']","['PC178', '44', '70', 'PA452']","[22.8, 18.3, 2.6, 3.0]",5.2,4.6,6.7,"[6.5, 1.8, 1.8, 2.1]",75.3,3
32,14995,34.0,"['302', '509']","['PH278', 'PA450']","['PA238', 'PA452']","[15.2, 3.3]",5.8,4.6,2.0,"[1.3, 2.7]",34.9,1
33,14995,35.0,"['L3', '506']","['117', 'PD564']","['35', 'PA452']","[1.9, 13.4]",11.3,4.6,3.2,"[3.6, 1.5]",39.4,2
34,14995,31.0,['119'],['PA354'],['PA276'],[13.4],13.1,4.3,0.0,[1.6],32.3,1
35,14995,45.0,"['L1', 'L2R', '506v']","['40', '44', 'PA450']","['44', '70', 'PA452']","[21.5, 2.6, 3.3]",5.9,4.6,1.3,"[1.0, 3.4, 2.0]",45.7,5
36,14995,65.0,"['I12', 'L5R', 'L1', '507']","['PI1554', '11', '91', 'PA335']","['PI218', '91', '38', 'PA433']","[8.3, 12.8, 9.8, 6.8]",13.1,3.4,3.9,"[1.2, 2.2, 1.7, 2.5]",65.5,3
37,14995,45.0,"['517', 'L4V', 'L1', 'L2R', '506']","['PC717', '17', '93', '44', 'PA450']","['PC510', '93', '44', '70', 'PA452']","[2.7, 2.8, 12.6, 2.6, 3.0]",0.1,4.6,2.4,"[2.6, 1.8, 1.1, 1.3, 4.7]",42.3,1
38,14995,63.0,"['411', 'C13', 'L1', 'L2R', '506v']","['PC1224', 'PC330', '40', '44', 'PA450']","['PC144', 'PC1067', '44', '70', 'PA452']","[5.1, 7.9, 21.5, 2.6, 3.3]",3.2,4.6,5.0,"[1.5, 1.9, 1.8, 3.0, 1.5]",62.8,1
39,14995,27.0,"['L1', 'L2R', '507']","['57', '44', 'PA450']","['44', '70', 'PA322']","[8.6, 2.6, 3.6]",1.0,3.3,1.3,"[2.3, 3.3, 1.4]",27.4,23
40,14995,,[],[],[],[],,,,[],,
41,14995,26.0,"['L5R', 'L2R', '506']","['7', '4', 'PA450']","['4', '70', 'PA452']","[2.6, 4.4, 3.0]",5.0,4.6,1.3,"[3.5, 1.1, 2.0]",27.5,1
42,14995,39.0,"['L6', 'L2R', '506v']","['106', '29', 'PA450']","['29', '70', 'PA452']","[8.9, 1.6, 3.3]",15.1,4.6,1.3,"[2.1, 2.0, 1.2]",40.1,1
43,14995,71.0,"['C13', 'L1', 'L2R', '507']","['PC615', '40', '44', 'PA450']","['PC1067', '44', '70', 'PA322']","[22.7, 21.5, 2.6, 3.6]",5.2,3.3,2.6,"[1.9, 1.5, 1.9, 1.6]",68.5,1
44,14995,28.0,['507'],['PD585'],['PA322'],[18.1],7.9,3.3,0.0,[1.5],30.8,1
45,14995,36.0,"['L1', 'L2R', '509']","['93', '44', 'PA450']","['44', '70', 'PA452']","[12.6, 2.6, 3.3]",5.6,4.6,1.3,"[1.1, 2.4, 2.0]",35.5,3
46,14995,37.0,"['L6', 'L2R', '507']","['107', '29', 'PA450']","['29', '70', 'PA322']","[11.4, 1.6, 3.6]",8.4,3.3,1.3,"[2.2, 3.7, 2.4]",37.8,6
47,14995,22.0,['506'],['PD564'],['PA452'],[13.4],1.7,4.6,0.0,[2.8],22.4,15
48,14995,72.0,"['C05', '225', 'L1', '121']","['PC615', 'PC115', '40', 'PA273']","['PC115', 'PC1067', '83', 'PA276']","[10.9, 9.3, 22.9, 4.2]",5.2,4.3,7.1,"[2.4, 4.1, 1.0, 1.0]",72.4,1
49,14995,30.0,"['L2R', '509']","['72', 'PA450']","['70', 'PA452']","[8.2, 3.3]",9.0,4.6,1.3,"[2.5, 1.3]",30.1,6
50,14995,46.0,"['302e', 'L2R', '507']","['PG1793', '39', 'PA450']","['PG203', '70', 'PA322']","[9.5, 14.0, 3.6]",6.9,3.3,3.7,"[2.4, 1.1, 1.4]",45.9,2
51,14995,24.0,['507'],['PA368'],['PA433'],[6.8],8.3,3.4,0.0,[1.6],20.1,3
52,14995,33.0,"['L3', '506v']","['106', 'PA446']","['116', 'PA452']","[5.8, 8.7]",8.5,4.6,2.1,"[4.6, 1.7]",36.0,8
53,14995,42.0,"['L1', 'L2R', '507']","['41', '44', 'PA450']","['44', '70', 'PA322']","[11.2, 2.6, 3.6]",15.8,3.3,1.3,"[1.6, 1.7, 2.3]",43.4,9
54,14995,44.0,"['L6', 'L2R', '506v']","['41', '29', 'PA450']","['29', '70', 'PA452']","[14.5, 1.6, 3.3]",16.1,4.6,1.3,"[1.0, 2.1, 2.2]",46.7,1
55,14995,57.0,"['C19', 'L1', 'L2R', '506v']","['PC115', '58', '44', 'PA450']","['PC178', '44', '70', 'PA452']","[12.4, 18.3, 2.6, 3.3]",1.9,4.6,6.7,"[1.1, 1.0, 2.5, 3.6]",58.0,2
56,14995,62.0,"['B16', 'L2R', '506e']","['PB1676', '5', 'PA450']","['PB125', '70', 'PA452']","[26.5, 16.5, 2.4]",2.7,4.6,5.8,"[4.2, 2.3, 2.5]",67.4,1
57,14995,,[],[],[],[],,,,[],,
58,14995,31.0,['506'],['PD564'],['PA452'],[13.4],12.5,4.6,0.0,[2.0],32.3,12
59,14995,31.0,['506v'],['PD585'],['PA452'],[17.5],8.4,4.6,0.0,[1.0],31.4,2
60,14995,33.0,"['L3', '506v']","['118', 'PA446']","['116', 'PA452']","[7.5, 8.7]",5.7,4.6,2.1,"[2.8, 1.9]",33.3,7
61,14995,34.0,"['J03', '119']","['PA387', 'PA271']","['PA271', 'PA276']","[9.6, 6.7]",9.4,4.3,0.0,"[2.3, 2.6]",34.8,1
62,14995,47.0,"['D10', 'L5R', 'L6', 'L2R', '506v']","['PD1302', '1', '61', '29', 'PA450']","['PD1185', '61', '29', '70', 'PA452']","[10.5, 3.1, 4.0, 1.6, 3.3]",3.1,4.6,2.2,"[4.0, 1.4, 2.9, 3.6, 2.9]",47.2,1
63,14995,35.0,"['L1', 'L2R', '506']","['67', '44', 'PA450']","['44', '70', 'PA452']","[10.0, 2.6, 3.0]",10.5,4.6,1.3,"[2.3, 1.1, 1.4]",36.7,2
64,14995,36.0,"['L1', 'L2R', '506e']","['93', '44', 'PA450']","['44', '70', 'PA452']","[12.6, 2.6, 2.6]",6.2,4.6,1.3,"[2.2, 2.1, 2.1]",36.2,8
65,14995,36.0,"['L1', 'L2R', '506v']","['27', '44', 'PA450']","['44', '70', 'PA452']","[16.5, 2.6, 3.3]",2.2,4.6,1.3,"[1.3, 2.8, 2.0]",36.5,6
66,14995,71.0,"['I11', 'L5V', 'L2R', '507']","['PI276', '68', '4', 'PA450']","['PI148', '4', '70', 'PA322']","[18.3, 24.0, 4.4, 3.4]",10.4,3.3,2.5,"[1.7, 2.5, 1.5, 3.4]",75.2,1
67,14995,49.0,"['C06', 'L1', '507']","['PC556', '93', 'PA335']","['PC1107', '38', 'PA433']","[8.6, 15.2, 6.8]",8.9,3.4,2.6,"[1.4, 1.0, 2.5]",50.4,4
68,14995,46.0,"['L1', 'L2R', '506']","['27', '44', 'PA450']","['44', '70', 'PA452']","[16.5, 2.6, 3.0]",12.2,4.6,1.3,"[1.7, 1.2, 2.9]",46.0,15
69,14995,43.0,"['L4V', 'L1', 'L2R', '506v']","['17', '93', '44', 'PA450']","['93', '44', '70', 'PA452']","[2.8, 12.6, 2.6, 3.3]",7.4,4.6,1.3,"[2.1, 2.6, 2.9, 1.3]",43.5,4
70,14995,31.0,['506v'],['PD585'],['PA452'],[17.5],8.4,4.6,0.0,[1.3],31.7,1
71,14995,37.0,"['106', 'L1', 'L2R', '506']","['PC49', '57', '44', 'PA450']","['PC192', '44', '70', 'PA452']","[3.0, 8.6, 2.6, 3.0]",3.5,4.6,3.1,"[1.5, 2.2, 1.2, 1.4]",34.7,2
72,14995,39.0,"['L3', '506e']","['119', 'PA446']","['116', 'PA452']","[9.8, 7.1]",9.4,4.6,2.1,"[3.4, 1.8]",38.3,11
73,14995,23.0,"['L5V', 'L2R', '506e']","['78', '4', 'PA450']","['4', '70', 'PA452']","[3.2, 4.4, 2.6]",4.6,4.6,1.3,"[2.8, 2.0, 1.8]",27.3,2
74,14995,49.0,"['D10', 'L5R', 'L6', 'L2R', '507']","['PD1428', '1', '61', '29', 'PA450']","['PD1185', '61', '29', '70', 'PA322']","[7.7, 3.1, 4.0, 1.6, 3.6]",4.2,3.3,2.2,"[1.1, 2.7, 1.4, 1.2, 1.9]",38.0,1
75,14995,36.0,"['103', 'L3', '506v']","['PD6', '106', 'PA446']","['PD8', '116', 'PA452']","[3.3, 5.8, 8.7]",1.3,4.6,3.8,"[2.0, 2.0, 1.8]",33.2,2
76,14995,75.0,"['B16', 'L2R', '506']","['PB1041', '5', 'PA450']","['PB125', '70', 'PA452']","[21.0, 16.5, 3.0]",14.8,4.6,5.8,"[5.7, 2.2, 2.1]",75.7,6
77,14995,38.0,"['507', '506e']","['PD581', 'PD582']","['PD582', 'PA452']","[1.9, 19.4]",9.5,4.6,0.0,"[2.0, 2.7]",40.0,2
78,14995,45.0,"['L1', 'L2R', '509']","['27', '44', 'PA450']","['44', '70', 'PA452']","[16.5, 2.6, 3.3]",11.5,4.6,1.3,"[2.3, 2.4, 2.0]",46.5,2
79,14995,38.0,"['104', 'L3', '506v']","['PD100', '118', 'PA446']","['PD103', '116', 'PA452']","[3.0, 7.5, 8.7]",3.7,4.6,4.1,"[2.8, 2.8, 1.5]",38.6,1
80,14995,48.0,"['518', 'L6', 'L2R', '506']","['PC492', '107', '29', 'PA450']","['PC495', '29', '70', 'PA452']","[4.5, 11.4, 1.6, 3.0]",15.7,4.6,3.5,"[1.8, 1.5, 1.3, 2.2]",51.3,1
81,14995,23.0,"['L2R', '507']","['45', 'PA450']","['70', 'PA322']","[4.4, 3.6]",5.2,3.3,1.3,"[3.2, 2.4]",23.3,18
