from_id,to_id,travel_time,routes,board_stops,alight_stops,ride_times,access_time,egress_time,transfer_time,wait_times,total_time,n_iterations
0,14996,25.0,"['L3', '224']","['106', 'PD107']","['118', 'PD61']","[1.4, 5.4]",1.8,11.1,2.0,"[1.4, 4.4]",27.4,2
1,14996,65.0,"['E07', 'L4V', 'D16', '325']","['PE402', '98', 'PD1356', 'PD638']","['PE151', '84', 'PD638', 'PD915']","[21.0, 7.3, 8.2, 5.0]",6.1,3.6,3.6,"[5.0, 1.3, 2.7, 1.0]",64.9,1
2,14996,29.0,['106'],['PD108'],['PD61'],[13.9],2.5,11.1,0.0,[3.3],30.9,9
3,14996,54.0,"['C07', 'L1', 'L6', '126']","['PC103', '58', '41', 'PD529']","['PC105', '41', '105', 'PD61']","[3.7, 6.7, 7.0, 3.0]",5.1,11.1,8.5,"[3.8, 2.4, 3.6, 2.4]",57.3,3
4,14996,61.0,"['C06', 'L1', 'L6', '508']","['PB104', '93', '41', 'PD529']","['PC738', '41', '105', 'PD530']","[18.1, 1.0, 7.0, 3.1]",6.3,12.0,6.0,"[3.1, 2.5, 1.3, 1.9]",62.2,1
5,14996,54.0,"['L1', 'L6', '106']","['58', '41', 'PD529']","['41', '105', 'PD61']","[6.7, 7.0, 2.8]",22.0,11.1,4.0,"[1.0, 3.0, 2.7]",60.4,1
6,14996,29.0,['106'],['PD109'],['PD61'],[12.7],2.4,11.1,0.0,[1.9],28.1,2
7,14996,30.0,"['126', '506e', '325']","['PD109', 'PD115', 'PD530']","['PD528', 'PD590', 'PD892']","[8.2, 4.2, 1.8]",2.4,4.7,1.6,"[1.1, 1.7, 1.5]",27.3,1
8,14996,30.0,['106'],['PD109'],['PD61'],[12.7],2.4,11.1,0.0,[1.6],27.9,7
9,14996,25.0,"['422', '104']","['PD336', 'PD107']","['PD337', 'PD61']","[1.1, 6.6]",3.3,11.1,1.4,"[1.4, 1.3]",26.1,1
10,14996,30.0,['106'],['PD108'],['PD61'],[13.9],3.6,11.1,0.0,[2.7],31.4,7
