from_id,to_id,travel_time,routes,board_stops,alight_stops,ride_times,access_time,egress_time,transfer_time,wait_times,total_time,n_iterations
15,14996,31.0,"['L3', '325']","['35', 'PD107']","['118', 'PD892']","[5.3, 7.3]",9.1,4.7,2.0,"[3.2, 2.2]",33.7,1
41,14996,40.0,"['L5R', 'L6', '126']","['7', '61', 'PD529']","['61', '105', 'PD61']","[7.8, 2.4, 3.0]",5.0,11.1,4.0,"[2.2, 3.1, 1.4]",40.0,3
47,14996,28.0,['325'],['PD428'],['PD892'],[22.3],0.9,4.7,0.0,[1.9],29.9,1
51,14996,47.0,"['L1', 'L3', '325']","['26', '15', 'PD335']","['15', '106', 'PD892']","[5.8, 10.2, 12.6]",5.9,4.7,1.7,"[2.3, 5.0, 1.1]",49.4,2
73,14996,45.0,"['L5', '506e']","['78', 'PD524']","['35', 'PD590']","[9.9, 11.9]",4.6,11.3,3.9,"[4.9, 2.6]",49.2,2
81,14996,39.0,"['L6', '126']","['29', 'PD529']","['105', 'PD61']","[7.3, 3.3]",8.7,11.1,4.0,"[3.9, 1.6]",40.1,4
95,14996,33.0,"['L3', '325']","['35', 'PD333']","['117', 'PD892']","[1.9, 17.0]",5.9,4.7,0.5,"[2.8, 1.9]",34.7,2
122,14996,30.0,"['L3', '104']","['35', 'PD107']","['118', 'PD61']","[5.3, 6.6]",2.8,11.1,2.0,"[2.4, 1.8]",32.0,1
141,14996,32.0,"['L3', '104']","['35', 'PD107']","['118', 'PD61']","[5.3, 5.8]",5.3,11.1,2.0,"[1.1, 3.7]",34.3,1
156,14996,44.0,"['L5', 'L3', '104']","['4', '35', 'PD107']","['35', '118', 'PD61']","[8.2, 5.3, 6.6]",6.1,11.1,2.0,"[2.4, 1.9, 1.6]",45.2,1
157,14996,37.0,"['L6', '506v']","['29', 'PD115']","['105', 'PD590']","[7.3, 4.8]",6.2,11.3,4.8,"[1.8, 2.7]",38.8,3
162,14996,36.0,"['L1', 'L6', '506v']","['85', '41', 'PD115']","['41', '105', 'PD590']","[3.7, 7.0, 4.8]",1.5,11.3,4.8,"[2.0, 2.3, 1.9]",39.2,1
184,14996,26.0,"['L3', '212']","['117', 'PD107']","['118', 'PD61']","[3.0, 6.2]",0.6,11.1,2.0,"[2.8, 1.6]",27.3,5
193,14996,36.0,"['L1', 'L6', '325']","['85', '41', 'PD335']","['41', '106', 'PD892']","[3.7, 5.2, 10.8]",1.5,4.7,1.7,"[2.5, 2.4, 2.7]",35.1,9
207,14996,24.0,"['L3', '104']","['106', 'PD107']","['118', 'PD61']","[1.4, 5.8]",0.4,11.1,2.0,"[4.2, 1.3]",26.1,3
217,14996,41.0,"['L2R', 'L6', '508']","['12', '29', 'PD529']","['29', '105', 'PD530']","[8.4, 7.3, 3.1]",2.7,12.0,4.0,"[1.7, 1.1, 1.1]",41.5,1
218,14996,24.0,"['422', '212']","['PD335', 'PD107']","['PD337', 'PD61']","[3.3, 5.2]",2.1,11.1,1.4,"[1.1, 3.8]",28.0,1
234,14996,24.0,"['L6', '508']","['106', 'PD529']","['105', 'PD530']","[1.4, 3.1]",1.1,12.0,4.0,"[1.9, 1.2]",24.6,1
259,14996,49.0,"['L1', 'L3', '325']","['26', '15', 'PD335']","['15', '106', 'PD892']","[5.8, 10.2, 10.8]",7.8,4.7,1.7,"[1.0, 2.5, 1.3]",45.8,2
262,14996,49.0,"['L5R', 'L6', '507c']","['76', '61', 'PD115']","['61', '105', 'PD590']","[14.4, 2.4, 4.6]",7.5,11.3,4.8,"[3.1, 1.2, 1.4]",50.7,1
307,14996,28.0,"['506', '325']","['PD524', 'PD530']","['PD590', 'PD892']","[12.9, 1.5]",2.4,4.7,0.7,"[1.3, 2.3]",25.9,1
322,14996,20.0,['508'],['PD529'],['PD530'],[3.1],4.1,12.0,0.0,[1.8],20.9,2
360,14996,39.0,"['L1', 'L5R', '519']","['96', '6', 'PD427']","['6', '35', 'PD590']","[0.9, 3.4, 15.4]",3.1,11.3,0.8,"[2.2, 1.5, 1.5]",40.1,1
440,14996,45.0,"['L2', 'L6', '106']","['4', '29', 'PD529']","['29', '105', 'PD61']","[7.9, 7.3, 2.9]",7.7,11.1,4.0,"[4.6, 1.6, 2.0]",49.2,1
521,14996,78.0,"['430', 'L2V', 'L6', '106']","['PB511', '5', '29', 'PD529']","['PB126', '29', '105', 'PD61']","[4.4, 20.0, 7.3, 2.8]",20.5,11.1,4.8,"[3.0, 1.0, 3.1, 1.3]",79.3,1
610,14996,50.0,"['L2V', 'L6', '106']","['94', '29', 'PD529']","['29', '105', 'PD61']","[4.6, 7.3, 2.8]",13.1,11.1,4.0,"[2.1, 4.2, 1.3]",50.5,12
635,14996,41.0,"['L2R', 'L6', '508', '325']","['45', '29', 'PD529', 'PD530']","['29', '105', 'PD530', 'PD892']","[2.8, 7.3, 3.1, 1.5]",4.9,4.7,4.0,"[2.4, 2.7, 3.6, 2.5]",39.7,4
638,14996,41.0,"['L2V', 'L6', '506e']","['90', '29', 'PD115']","['29', '105', 'PD590']","[2.3, 7.3, 4.2]",4.8,11.3,4.8,"[3.1, 3.8, 1.3]",42.7,4
648,14996,46.0,"['506v', 'L3', '325']","['PA433', '116', 'PD107']","['PA439', '118', 'PD892']","[8.9, 7.5, 7.3]",5.0,4.7,3.6,"[1.4, 1.5, 1.2]",41.0,1
650,14996,32.0,"['L3', '325']","['35', 'PD107']","['118', 'PD892']","[5.3, 7.3]",5.9,4.7,2.0,"[2.3, 2.3]",29.8,2
655,14996,45.0,"['L2', 'L6', '508', '325']","['44', '29', 'PD529', 'PD530']","['29', '105', 'PD530', 'PD892']","[6.2, 7.3, 3.1, 1.8]",7.1,4.7,4.0,"[3.7, 3.0, 2.4, 1.5]",44.8,1
659,14996,52.0,"['119', 'L6', '508']","['PA280', '103', 'PD529']","['PH293', '105', 'PD530']","[8.2, 10.2, 3.1]",4.2,12.0,5.0,"[1.8, 4.1, 3.4]",51.9,1
677,14996,27.0,"['L3', '104']","['117', 'PD107']","['118', 'PD61']","[3.0, 6.6]",1.4,11.1,2.0,"[2.5, 3.3]",29.9,6
679,14996,45.0,"['506v', '325']","['PA433', 'PD530']","['PD590', 'PD892']","[28.2, 1.5]",4.8,4.7,0.7,"[1.9, 3.8]",45.7,3
690,14996,29.0,['325'],['PD428'],['PD892'],[22.3],0.9,4.7,0.0,[1.7],29.7,2
692,14996,40.0,"['L3', '104']","['115', 'PD107']","['118', 'PD61']","[10.0, 6.6]",8.1,11.1,2.0,"[2.8, 3.8]",44.4,5
716,14996,38.0,"['L2V', 'L6', '508']","['90', '29', 'PD529']","['29', '105', 'PD530']","[2.3, 7.3, 3.1]",2.2,12.0,4.0,"[4.0, 2.3, 1.4]",38.5,9
717,14996,44.0,"['H13', 'L6', '106']","['PH629', '29', 'PD529']","['PA63', '105', 'PD61']","[5.6, 7.3, 2.8]",1.2,11.1,7.9,"[3.0, 2.0, 3.8]",44.7,1
719,14996,27.0,"['L3', '325']","['35', 'PD333']","['117', 'PD892']","[1.9, 14.4]",3.0,4.7,0.5,"[2.1, 3.0]",29.7,2
725,14996,46.0,"['L5', 'L3', '325']","['4', '75', 'PD107']","['75', '118', 'PD892']","[1.1, 13.5, 8.5]",8.4,4.7,2.0,"[1.0, 1.8, 2.2]",43.2,1
727,14996,39.0,"['L1', 'L2R', 'L6', '126']","['46', '44', '29', 'PD529']","['44', '29', '105', 'PD61']","[0.9, 4.3, 7.3, 3.0]",1.9,11.1,4.0,"[1.4, 3.9, 2.1, 2.2]",42.0,1
728,14996,25.0,"['422', '212']","['PD335', 'PD107']","['PD337', 'PD61']","[3.3, 5.2]",2.1,11.1,1.4,"[1.2, 2.8]",27.2,1
730,14996,37.0,"['L2R', 'L6', '106']","['45', '29', 'PD529']","['29', '105', 'PD61']","[2.8, 7.3, 2.8]",0.7,11.1,4.0,"[3.6, 3.1, 2.2]",37.7,8
