direccion,precio,gastos_comunes,caracteristicas,num_caracteristicas,fecha_descarga,fecha_publicacion,titulo,url
Evita usar formas de pago informales para el pago de reserva y cualquier costo inicial del arriendo.,480.000,Gastos comunes aproximados $ 90.000,50 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 32 días,¡¡ Sin Comisión !! Departamento 2d Y 2b (m) En M. Rodriguez.,https://www.portalinmobiliario.com/MLC-1659411380--sin-comision-departamento-2d-y-2b-m-en-m-rodriguez-_JM#position=1&search_layout=stack&type=item&tracking_id=d9d72f83-0e07-4c67-8ad6-4bcae03cfee9
"Padre Mariano 1 - 300, Providencia, Chile, Pedro de Valdivia, Providencia, RM (Metropolitana)",14,Gastos comunes aproximados $ 70.000,38 m² totales / 1 dormitorio / 1 baño,3,2023-06-13,Publicado hace 5 días,¡ Remodelado ! Departamento 1d Y 1b En Padre Mariano.,https://www.portalinmobiliario.com/MLC-1391904467--remodelado-departamento-1d-y-1b-en-padre-mariano-_JM#position=2&search_layout=stack&type=item&tracking_id=d9d72f83-0e07-4c67-8ad6-4bcae03cfee9
"María Auxiliadora 975, Santiago, San Miguel, Chile, El Llano, San Miguel, RM (Metropolitana)",457.000,Gastos comunes aproximados $ 88.000,62 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 4 meses por Blue Home,"María Auxiliadora 975 -  Departamento 2d2b(4c), San Miguel",https://www.portalinmobiliario.com/MLC-1727899748-maria-auxiliadora-975-departamento-2d2b4c-san-miguel-_JM#position=3&search_layout=stack&type=item&tracking_id=d9d72f83-0e07-4c67-8ad6-4bcae03cfee9
"Juan Mitjans 105, Macul, Chile, Metro Rodrigo de Araya, Macul, RM (Metropolitana)",479.000,Gastos comunes aproximados $ 80.000,51 m² totales / 2 dormitorios / 1 baño,3,2023-06-13,Publicado hace 10 meses por Blue Home,"Juan Mitjans 105 - Departamento 2d1b, Macul",https://www.portalinmobiliario.com/MLC-1727886158-juan-mitjans-105-departamento-2d1b-macul-_JM#position=4&search_layout=stack&type=item&tracking_id=d9d72f83-0e07-4c67-8ad6-4bcae03cfee9
"Carmen 368, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)",500.000,Gastos comunes aproximados $ 110.000,68 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 26 días por Blue Home,"Carmen 368 -  Departamento 1d1b (gr), Santiago",https://www.portalinmobiliario.com/MLC-1680543930-carmen-368-departamento-1d1b-gr-santiago-_JM#position=5&search_layout=stack&type=item&tracking_id=d9d72f83-0e07-4c67-8ad6-4bcae03cfee9
"Santo Domingo 3251, Santiago, Chile, Barrio Yungay, Santiago, RM (Metropolitana)",471.000,Gastos comunes aproximados $ 88.000,51 m² totales / 2 dormitorios / 1 baño,3,2023-06-13,Publicado hace 39 días por Blue Home,"Santo Domingo 3251 -  Departamento 2d1b, Santiago",https://www.portalinmobiliario.com/MLC-1380364147-santo-domingo-3251-departamento-2d1b-santiago-_JM#position=6&search_layout=stack&type=item&tracking_id=d9d72f83-0e07-4c67-8ad6-4bcae03cfee9
"Morandé 924, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",487.000,Gastos comunes aproximados $ 95.000,56 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 2 meses por Blue Home,"Morandé 924 -  Departamento 2d2b(4c), Santiago",https://www.portalinmobiliario.com/MLC-1363603805-morande-924-departamento-2d2b4c-santiago-_JM#position=7&search_layout=stack&type=item&tracking_id=d9d72f83-0e07-4c67-8ad6-4bcae03cfee9
"José Ureta 180, La Cisterna, Chile, Lo Ovalle, La Cisterna, RM (Metropolitana)",472.000,Gastos comunes aproximados $ 113.000,78 m² totales / 3 dormitorios / 3 baños,3,2023-06-13,Publicado hace 19 días por Blue Home,"Jose Ureta 180 - Departamento 3d3b, La Cisterna",https://www.portalinmobiliario.com/MLC-1387563367-jose-ureta-180-departamento-3d3b-la-cisterna-_JM#position=8&search_layout=stack&type=item&tracking_id=d9d72f83-0e07-4c67-8ad6-4bcae03cfee9
"Zañartu 900 - 1200, Ñuñoa, Chile, Estadio Nacional, Ñuñoa, RM (Metropolitana)",480.000,Gastos comunes aproximados $ 100.000,50 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 32 días,Departamento 2d Y 2b En Zañartu.,https://www.portalinmobiliario.com/MLC-1659229880-departamento-2d-y-2b-en-zanartu-_JM#position=9&search_layout=stack&type=item&tracking_id=d9d72f83-0e07-4c67-8ad6-4bcae03cfee9
"Carlos Silva Vildósola 870, El Llano, San Miguel, RM (Metropolitana)",460.000,Gastos comunes aproximados $ 75.000,57.6 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 8 días por Assetplan Chile,Edificio Carlos Silva Vildósola (1 Est. 1 Bod.) Vista Poni,https://www.portalinmobiliario.com/MLC-1391259769-edificio-carlos-silva-vildosola-1-est-1-bod-vista-poni-_JM#position=10&search_layout=stack&type=item&tracking_id=d9d72f83-0e07-4c67-8ad6-4bcae03cfee9
