direccion,precio,gastos_comunes,caracteristicas,num_caracteristicas,fecha_descarga,fecha_publicacion,titulo,url
"Maule 150, Santiago, Chile, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",374.000,Gastos comunes aproximados $ 85.000,40 m² totales / 2 dormitorios / 1 baño,3,2023-05-17,Publicado hace 20 días por Blue Home,"Maule 150 -  Departamento 2d1b, Santiago",https://www.portalinmobiliario.com/MLC-1594148644-maule-150-departamento-2d1b-santiago-_JM#position=1&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330
"Santa Elena 998, Barrio Diez de Julio, Santiago, RM (Metropolitana)",375.000,Gastos comunes aproximados $ 95.000,50 m² totales / 2 dormitorios / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Santa Elena Vista Suroriente Piso 5,https://www.portalinmobiliario.com/MLC-1649731872-edificio-santa-elena-vista-suroriente-piso-5-_JM#position=2&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330
"Santo Domingo 3251, Santiago, Chile, Barrio Yungay, Santiago, RM (Metropolitana)",262.000,Gastos comunes aproximados $ 72.000,35 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 34 días por Blue Home,"Santo Domingo 3251 -  Departamento 1d1b, Santiago",https://www.portalinmobiliario.com/MLC-1372875297-santo-domingo-3251-departamento-1d1b-santiago-_JM#position=3&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330
"San Francisco 228, Bulnes, Santiago, RM (Metropolitana)",265.000,Gastos comunes aproximados $ 45.000,19 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio San Francisco Vista Oriente Piso 15,https://www.portalinmobiliario.com/MLC-1382938865-edificio-san-francisco-vista-oriente-piso-15-_JM#position=4&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330
"Tarapaca 890, Bulnes, Santiago, RM (Metropolitana)",290.000,Gastos comunes aproximados $ 40.000,32.78 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Tarapaca Vista Poniente Piso 15,https://www.portalinmobiliario.com/MLC-1382947291-edificio-tarapaca-vista-poniente-piso-15-_JM#position=5&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330
"Sara Del Campo 535, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)",321.000,Gastos comunes aproximados $ 81.000,33 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 4 meses por Blue Home,"Sara Del Campo 535 -  Departamento 1d1b, Santiago",https://www.portalinmobiliario.com/MLC-1619702950-sara-del-campo-535-departamento-1d1b-santiago-_JM#position=6&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330
"Lira 245, Santa Isabel, Santiago, RM (Metropolitana)",580.000,Gastos comunes aproximados $ 85.000,58 m² totales / 2 dormitorios / 2 baños,3,2023-05-17,Publicado hace 6 días por Assetplan Chile,Edificio Lira (1 Est. 1 Bod.) Vista Sur Piso 1,https://www.portalinmobiliario.com/MLC-1383404993-edificio-lira-1-est-1-bod-vista-sur-piso-1-_JM#position=7&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330
"Pdte. Balmaceda 2610, Parque Los Reyes, Santiago, RM (Metropolitana)",440.000,Gastos comunes aproximados $ 80.000,58 m² totales / 2 dormitorios / 2 baños,3,2023-05-17,Publicado hace 6 días por Assetplan Chile,Edificio Pdte. Balmaceda (1 Bod.) Vista Norte Piso 14,https://www.portalinmobiliario.com/MLC-1383455993-edificio-pdte-balmaceda-1-bod-vista-norte-piso-14-_JM#position=8&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330
"Gral. Bulnes 158, Barrio Yungay, Santiago, RM (Metropolitana)",290.000,Gastos comunes aproximados $ 50.000,26.5 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 6 días por Assetplan Chile,Edificio Gral. Bulnes (1 Bod.) Vista Poniente Piso 4,https://www.portalinmobiliario.com/MLC-1649937732-edificio-gral-bulnes-1-bod-vista-poniente-piso-4-_JM#position=9&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330
"Gral. Bulnes 158, Barrio Yungay, Santiago, RM (Metropolitana)",300.000,Gastos comunes aproximados $ 50.000,26.5 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 9 días por Assetplan Chile,Edificio Gral. Bulnes (1 Est. 1 Bod.) Vista Poniente Piso 1,https://www.portalinmobiliario.com/MLC-1381991345-edificio-gral-bulnes-1-est-1-bod-vista-poniente-piso-1-_JM#position=10&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330
