direccion,precio,gastos_comunes,caracteristicas,num_caracteristicas,fecha_descarga,fecha_publicacion,titulo,url
"Vicuña Mackenna 7200 - 7500, La Florida, Chile, Rojas Magallanes, La Florida, RM (Metropolitana)",10,Gastos comunes aproximados $ 80.000,,0,2023-06-12,Publicado hace 27 días,Departamento 1d Y 1b En Vicuña Mackenna.,https://www.portalinmobiliario.com/MLC-1674743524-departamento-1d-y-1b-en-vicuna-mackenna-_JM#position=1&search_layout=stack&type=item&tracking_id=7657942c-1a6e-41a5-9bef-87fbca082bd7
"Avenida María Rozas Velásquez 1 - 300, Santiago, Estación Central, Chile, Metro Las Rejas, Estación Central, RM (Metropolitana)",370.000,Gastos comunes aproximados $ 80.000,54 m² totales / 2 dormitorios / 2 baños,3,2023-06-12,Publicado hace 4 días,Montalva Quindos Arrienda Depto 2d+2b En Estación Central,https://www.portalinmobiliario.com/MLC-1391684119-montalva-quindos-arrienda-depto-2d2b-en-estacion-central-_JM#position=2&search_layout=stack&type=item&tracking_id=7657942c-1a6e-41a5-9bef-87fbca082bd7
"Nueva De Valdés 600 - 900, Santiago, Chile, San Diego, Santiago, RM (Metropolitana)",365.400,Gastos comunes aproximados $ 106.800,49.92 m² totales / 2 dormitorios / 1 baño,3,2023-06-12,Publicado hace 3 meses,Depto 2 Dorms + 1 Baño En Santiago. Nuevo Y Equipado,https://www.portalinmobiliario.com/MLC-1576205496-depto-2-dorms-1-bano-en-santiago-nuevo-y-equipado-_JM#position=3&search_layout=stack&type=item&tracking_id=7657942c-1a6e-41a5-9bef-87fbca082bd7
"María Auxiliadora 975, Santiago, San Miguel, Chile, El Llano, San Miguel, RM (Metropolitana)",360.000,Gastos comunes aproximados $ 70.000,41 m² totales / 1 dormitorio / 1 baño,3,2023-06-12,Publicado hace 3 meses por Blue Home,"María Auxiliadora 975 -  Departamento 1d1b, San Miguel",https://www.portalinmobiliario.com/MLC-1727873864-maria-auxiliadora-975-departamento-1d1b-san-miguel-_JM#position=4&search_layout=stack&type=item&tracking_id=7657942c-1a6e-41a5-9bef-87fbca082bd7
"Inglaterra 59, La Florida, Chile, Metro Mirador, La Florida, RM (Metropolitana)",358.000,Gastos comunes aproximados $ 73.000,36 m² totales / 1 dormitorio / 1 baño,3,2023-06-12,Publicado hace 49 días por Blue Home,"Inglaterra 59 -  Departamento 1d1b, La Florida",https://www.portalinmobiliario.com/MLC-1376709339-inglaterra-59-departamento-1d1b-la-florida-_JM#position=5&search_layout=stack&type=item&tracking_id=7657942c-1a6e-41a5-9bef-87fbca082bd7
"Abdón Cifuentes 150, Santiago, Chile, Barrio República, Santiago, RM (Metropolitana)",360.000,Gastos comunes aproximados $ 75.000,38 m² totales / 1 dormitorio / 1 baño,3,2023-06-12,Publicado hace 32 días por Blue Home,"Abdón Cifuentes 150 -  Departamento 1d1b, Santiago",https://www.portalinmobiliario.com/MLC-1383418733-abdon-cifuentes-150-departamento-1d1b-santiago-_JM#position=6&search_layout=stack&type=item&tracking_id=7657942c-1a6e-41a5-9bef-87fbca082bd7
"Carmen 368, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)",369.000,Gastos comunes aproximados $ 69.000,36 m² totales / 1 dormitorio / 1 baño,3,2023-06-12,Publicado hace 35 días por Blue Home,"Carmen 368 -  Departamento 1d1b, Santiago",https://www.portalinmobiliario.com/MLC-1382029503-carmen-368-departamento-1d1b-santiago-_JM#position=7&search_layout=stack&type=item&tracking_id=7657942c-1a6e-41a5-9bef-87fbca082bd7
"Inglaterra 59, La Florida, Chile, Metro Mirador, La Florida, RM (Metropolitana)",358.000,Gastos comunes aproximados $ 73.000,36 m² totales / 1 dormitorio / 1 baño,3,2023-06-12,Publicado hace 2 meses por Blue Home,"Inglaterra 59 - Departamento 1d1b, La Florida",https://www.portalinmobiliario.com/MLC-1408806136-inglaterra-59-departamento-1d1b-la-florida-_JM#position=8&search_layout=stack&type=item&tracking_id=7657942c-1a6e-41a5-9bef-87fbca082bd7
"Santa Elena 998, Barrio Diez de Julio, Santiago, RM (Metropolitana)",375.000,Gastos comunes aproximados $ 90.000,50 m² totales / 2 dormitorios / 1 baño,3,2023-06-12,Publicado hace 9 días por Assetplan Chile,Edificio Santa Elena Vista Suroriente Piso 5,https://www.portalinmobiliario.com/MLC-1719144084-edificio-santa-elena-vista-suroriente-piso-5-_JM#position=9&search_layout=stack&type=item&tracking_id=7657942c-1a6e-41a5-9bef-87fbca082bd7
"Gral Amengual 102, San Alberto Hurtado, Estación Central, RM (Metropolitana)",371.500,Gastos comunes aproximados $ 66.000,43.56 m² totales / 2 dormitorios / 1 baño,3,2023-06-12,Publicado hace 9 días por Assetplan Chile,Edificio Amengual Vista Sur Piso 9,https://www.portalinmobiliario.com/MLC-1719280038-edificio-amengual-vista-sur-piso-9-_JM#position=10&search_layout=stack&type=item&tracking_id=7657942c-1a6e-41a5-9bef-87fbca082bd7
