direccion,precio,gastos_comunes,caracteristicas,num_caracteristicas,fecha_descarga,fecha_publicacion,titulo,url,latitud,longitud,ciudad
"Santa Elena 1760, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",290.000,Gastos comunes aproximados $ 40.000,28 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Santa Elena Vista Nororiente Piso 18,https://www.portalinmobiliario.com/MLC-1382972141-edificio-santa-elena-vista-nororiente-piso-18-_JM#position=8&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.46697211642239,-70.62792829182791,Santiago
"Raulí 596, Santa Isabel, Santiago, RM (Metropolitana)",300.000,Gastos comunes aproximados $ 50.000,32 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Raulí Vista Oriente Piso 8,https://www.portalinmobiliario.com/MLC-1382925603-edificio-rauli-vista-oriente-piso-8-_JM#position=11&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.4507761,-70.6360121,Santiago
"San Francisco 526, San Diego, Santiago, RM (Metropolitana)",290.000,Gastos comunes aproximados $ 50.000,31.97 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio San Francisco Vista Sur Piso 3,https://www.portalinmobiliario.com/MLC-1382994489-edificio-san-francisco-vista-sur-piso-3-_JM#position=12&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.4512115,-70.64638337999625,Santiago
"Amunátegui 620, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",290.000,Gastos comunes aproximados $ 40.000,35.2 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Amunátegui Vista Norte Piso 19,https://www.portalinmobiliario.com/MLC-1382984617-edificio-amunategui-vista-norte-piso-19-_JM#position=13&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.436505419999996,-70.65720278,Santiago
"Santiago Concha 1148, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",290.000,Gastos comunes aproximados $ 50.000,27 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Santiago Concha Vista Poniente Piso 8,https://www.portalinmobiliario.com/MLC-1649858896-edificio-santiago-concha-vista-poniente-piso-8-_JM#position=16&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.4662158,-70.6383189,Santiago
"Eyzaguirre 771, San Diego, Santiago, RM (Metropolitana)",275.000,Gastos comunes aproximados $ 50.000,24.91 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Eyzaguirre Vista Oriente Piso 9,https://www.portalinmobiliario.com/MLC-1649881166-edificio-eyzaguirre-vista-oriente-piso-9-_JM#position=24&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.4518854,-70.6461449,Santiago
"Matucana 31, Barrio Yungay, Santiago, RM (Metropolitana)",295.000,Gastos comunes aproximados $ 60.000,32.77 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Matucana Vista Poniente Piso 3,https://www.portalinmobiliario.com/MLC-1649835508-edificio-matucana-vista-poniente-piso-3-_JM#position=25&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.4434888,-70.6796756,Santiago
"Matucana 31, Barrio Yungay, Santiago, RM (Metropolitana)",295.000,Gastos comunes aproximados $ 60.000,32.77 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Matucana Vista Poniente Piso 3,https://www.portalinmobiliario.com/MLC-1382947457-edificio-matucana-vista-poniente-piso-3-_JM#position=26&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.4434888,-70.6796756,Santiago
"Arturo Prat 300, San Diego, Santiago, RM (Metropolitana)",255.000,Gastos comunes aproximados $ 25.000,18 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Arturo Prat Vista Norte Piso 2,https://www.portalinmobiliario.com/MLC-1382972149-edificio-arturo-prat-vista-norte-piso-2-_JM#position=27&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.449112796,-70.649291416,Santiago
"San Pablo 1433, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",275.000,Gastos comunes aproximados $ 45.000,26.29 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio San Pablo Vista Sur Piso 11,https://www.portalinmobiliario.com/MLC-1649881038-edificio-san-pablo-vista-sur-piso-11-_JM#position=28&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.43438923125,-70.65783231875001,Santiago
"Máximo Humbser, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",7,Gastos comunes aproximados $ 50.000,38 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 29 días por Houm,Departamento Máximo Humbser Id: 103462,https://www.portalinmobiliario.com/MLC-1557171890-departamento-maximo-humbser-id-103462-_JM#position=29&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.4395645,-70.6448649,Santiago
"Santo Domingo 3000 - 3300, Santiago, Chile, Barrio Yungay, Santiago, RM (Metropolitana)",262.000,Gastos comunes aproximados $ 72.000,29 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 51 días por Blue Home,"Santo Domingo 3251 -  Departamento 1d1b, Santiago",https://www.portalinmobiliario.com/MLC-1366467897-santo-domingo-3251-departamento-1d1b-santiago-_JM#position=31&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.438315,-70.6769181,Santiago
"Santa Elena 2100 - 2400, San Joaquín, Chile, Santiago, RM (Metropolitana)",289.000,Gastos comunes aproximados $ 54.000,25 m² totales / 1 baño,2,2023-05-17,Publicado hace 58 días por Blue Home,"Santa Elena 2120 -  Departamento Studio, Santiago",https://www.portalinmobiliario.com/MLC-1424592880-santa-elena-2120-departamento-studio-santiago-_JM#position=33&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.4715382,-70.6266896,Santiago
