direccion,precio,gastos_comunes,caracteristicas,num_caracteristicas,fecha_descarga,fecha_publicacion,titulo,url
"Santo Domingo 3251, Santiago, Chile, Barrio Yungay, Santiago, RM (Metropolitana)",262.000,Gastos comunes aproximados $ 72.000,35 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 34 días por Blue Home,"Santo Domingo 3251 -  Departamento 1d1b, Santiago",https://www.portalinmobiliario.com/MLC-1372875297-santo-domingo-3251-departamento-1d1b-santiago-_JM#position=1&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c
"San Francisco 228, Bulnes, Santiago, RM (Metropolitana)",265.000,Gastos comunes aproximados $ 45.000,19 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio San Francisco Vista Oriente Piso 15,https://www.portalinmobiliario.com/MLC-1382938865-edificio-san-francisco-vista-oriente-piso-15-_JM#position=2&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c
"Tarapaca 890, Bulnes, Santiago, RM (Metropolitana)",290.000,Gastos comunes aproximados $ 40.000,32.78 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Tarapaca Vista Poniente Piso 15,https://www.portalinmobiliario.com/MLC-1382947291-edificio-tarapaca-vista-poniente-piso-15-_JM#position=3&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c
"Gral. Bulnes 158, Barrio Yungay, Santiago, RM (Metropolitana)",300.000,Gastos comunes aproximados $ 50.000,26.5 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 9 días por Assetplan Chile,Edificio Gral. Bulnes (1 Est. 1 Bod.) Vista Poniente Piso 1,https://www.portalinmobiliario.com/MLC-1381991345-edificio-gral-bulnes-1-est-1-bod-vista-poniente-piso-1-_JM#position=4&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c
"San Diego 313, Parque Almagro, Santiago, RM (Metropolitana)",280.000,Gastos comunes aproximados $ 35.000,25 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 35 días por Assetplan Chile,Edificio San Diego Vista Norte Piso 15,https://www.portalinmobiliario.com/MLC-1531365548-edificio-san-diego-vista-norte-piso-15-_JM#position=5&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c
"Gral. Bulnes 158, Barrio Yungay, Santiago, RM (Metropolitana)",290.000,Gastos comunes aproximados $ 50.000,26.5 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Gral. Bulnes (1 Bod.) Vista Poniente Piso 4,https://www.portalinmobiliario.com/MLC-1649937732-edificio-gral-bulnes-1-bod-vista-poniente-piso-4-_JM#position=6&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c
"Gral. Bulnes 158, Barrio Yungay, Santiago, RM (Metropolitana)",290.000,Gastos comunes aproximados $ 50.000,26.4 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 8 días por Assetplan Chile,Edificio Gral. Bulnes (1 Bod.) Vista Poniente Piso 1,https://www.portalinmobiliario.com/MLC-1382429285-edificio-gral-bulnes-1-bod-vista-poniente-piso-1-_JM#position=7&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c
"Santa Elena 1760, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",290.000,Gastos comunes aproximados $ 40.000,28 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Santa Elena Vista Nororiente Piso 18,https://www.portalinmobiliario.com/MLC-1382972141-edificio-santa-elena-vista-nororiente-piso-18-_JM#position=8&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c
"Sta. Elena 962, Barrio Diez de Julio, Santiago, RM (Metropolitana)",300.000,Gastos comunes aproximados $ 55.000,35.7 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Sta. Elena (1 Bod.) Vista Norponiente Piso 6,https://www.portalinmobiliario.com/MLC-1649847454-edificio-sta-elena-1-bod-vista-norponiente-piso-6-_JM#position=9&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c
"San Francisco 294, Bulnes, Santiago, RM (Metropolitana)",270.000,Gastos comunes aproximados $ 65.000,26 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio San Francisco (1 Bod.) Vista Norte Piso 23,https://www.portalinmobiliario.com/MLC-1649847396-edificio-san-francisco-1-bod-vista-norte-piso-23-_JM#position=10&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c
"Raulí 596, Santa Isabel, Santiago, RM (Metropolitana)",300.000,Gastos comunes aproximados $ 50.000,32 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Raulí Vista Oriente Piso 8,https://www.portalinmobiliario.com/MLC-1382925603-edificio-rauli-vista-oriente-piso-8-_JM#position=11&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c
"San Francisco 526, San Diego, Santiago, RM (Metropolitana)",290.000,Gastos comunes aproximados $ 50.000,31.97 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio San Francisco Vista Sur Piso 3,https://www.portalinmobiliario.com/MLC-1382994489-edificio-san-francisco-vista-sur-piso-3-_JM#position=12&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c
"Amunátegui 620, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",290.000,Gastos comunes aproximados $ 40.000,35.2 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Amunátegui Vista Norte Piso 19,https://www.portalinmobiliario.com/MLC-1382984617-edificio-amunategui-vista-norte-piso-19-_JM#position=13&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c
"San Francisco 294, Bulnes, Santiago, RM (Metropolitana)",268.000,Gastos comunes aproximados $ 75.000,26 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio San Francisco Vista Oriente Piso 25,https://www.portalinmobiliario.com/MLC-1382984659-edificio-san-francisco-vista-oriente-piso-25-_JM#position=14&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c
"Coquimbo 14, Barrio Diez de Julio, Santiago, RM (Metropolitana)",290.000,Gastos comunes aproximados $ 50.000,29 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Coquimbo Vista Sur Piso 3,https://www.portalinmobiliario.com/MLC-1649835470-edificio-coquimbo-vista-sur-piso-3-_JM#position=15&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c
"Santiago Concha 1148, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",290.000,Gastos comunes aproximados $ 50.000,27 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Santiago Concha Vista Poniente Piso 8,https://www.portalinmobiliario.com/MLC-1649858896-edificio-santiago-concha-vista-poniente-piso-8-_JM#position=16&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c
"Eleuterio Ramirez 1291, Bulnes, Santiago, RM (Metropolitana)",280.000,Gastos comunes aproximados $ 65.000,27 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Eleuterio Ramirez Vista Oriente Piso 12,https://www.portalinmobiliario.com/MLC-1382925605-edificio-eleuterio-ramirez-vista-oriente-piso-12-_JM#position=17&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c
"Mario Kreutzberger 1520, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",285.000,Gastos comunes aproximados $ 50.000,25 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Mario Kreutzberger Vista Sur Piso 3,https://www.portalinmobiliario.com/MLC-1382947293-edificio-mario-kreutzberger-vista-sur-piso-3-_JM#position=18&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c
"Nataniel Cox 683, Parque Almagro, Santiago, RM (Metropolitana)",300.000,Gastos comunes aproximados $ 75.000,35.99 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Nataniel Cox (1 Bod.) Vista Sur Piso 3,https://www.portalinmobiliario.com/MLC-1382994337-edificio-nataniel-cox-1-bod-vista-sur-piso-3-_JM#position=19&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c
"Chiloé 1951, Franklin - Biobío, Santiago, RM (Metropolitana)",290.000,Gastos comunes aproximados $ 50.000,35.6 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Chiloé Vista Norte Piso 5,https://www.portalinmobiliario.com/MLC-1649847654-edificio-chiloe-vista-norte-piso-5-_JM#position=20&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c
"Gral Gana 1379, Franklin - Biobío, Santiago, RM (Metropolitana)",290.000,Gastos comunes aproximados $ 55.000,32.32 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Gral Gana Vista Sur Piso 12,https://www.portalinmobiliario.com/MLC-1649859072-edificio-gral-gana-vista-sur-piso-12-_JM#position=21&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c
"Av. Almte. Blanco Encalada 2527, Barrio República, Santiago, RM (Metropolitana)",270.000,Gastos comunes aproximados $ 40.000,25 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Av. Almte. Blanco Encalada Vista Surponiente Piso ,https://www.portalinmobiliario.com/MLC-1382994585-edificio-av-almte-blanco-encalada-vista-surponiente-piso-_JM#position=22&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c
"Lord Cochrane 136, Bulnes, Santiago, RM (Metropolitana)",300.000,Gastos comunes aproximados $ 40.000,27 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Lord Cochrane Vista Norte Piso 17,https://www.portalinmobiliario.com/MLC-1649847262-edificio-lord-cochrane-vista-norte-piso-17-_JM#position=23&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c
"Eyzaguirre 771, San Diego, Santiago, RM (Metropolitana)",275.000,Gastos comunes aproximados $ 50.000,24.91 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Eyzaguirre Vista Oriente Piso 9,https://www.portalinmobiliario.com/MLC-1649881166-edificio-eyzaguirre-vista-oriente-piso-9-_JM#position=24&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c
