direccion,precio,gastos_comunes,caracteristicas,num_caracteristicas,fecha_descarga,fecha_publicacion,titulo,url
"Santa Elena 998, Barrio Diez de Julio, Santiago, RM (Metropolitana)",375.000,Gastos comunes aproximados $ 95.000,50 m² totales / 2 dormitorios / 1 baño,3,2023-05-19,Publicado hace 8 días por Assetplan Chile,Edificio Santa Elena Vista Suroriente Piso 5,https://www.portalinmobiliario.com/MLC-1649731872-edificio-santa-elena-vista-suroriente-piso-5-_JM#position=1&search_layout=stack&type=item&tracking_id=9c200f9c-f53b-477e-9c2b-c51dd0a61a24
"Maule 150, Santiago, Chile, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",374.000,Gastos comunes aproximados $ 85.000,40 m² totales / 2 dormitorios / 1 baño,3,2023-05-19,Publicado hace 21 días por Blue Home,"Maule 150 -  Departamento 2d1b, Santiago",https://www.portalinmobiliario.com/MLC-1594148644-maule-150-departamento-2d1b-santiago-_JM#position=2&search_layout=stack&type=item&tracking_id=9c200f9c-f53b-477e-9c2b-c51dd0a61a24
"Gral. Bulnes 259, Barrio Yungay, Santiago, RM (Metropolitana)",370.000,Gastos comunes aproximados $ 70.000,25 m² totales / 1 dormitorio / 1 baño,3,2023-05-19,Publicado hace 10 días por Assetplan Chile,Edificio Gral. Bulnes (1 Est. 1 Bod.) Vista Sur Piso 1,https://www.portalinmobiliario.com/MLC-1639969038-edificio-gral-bulnes-1-est-1-bod-vista-sur-piso-1-_JM#position=3&search_layout=stack&type=item&tracking_id=9c200f9c-f53b-477e-9c2b-c51dd0a61a24
"Pdte. Balmaceda 2610, Parque Los Reyes, Santiago, RM (Metropolitana)",440.000,Gastos comunes aproximados $ 80.000,58 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 7 días por Assetplan Chile,Edificio Pdte. Balmaceda (1 Bod.) Vista Norte Piso 14,https://www.portalinmobiliario.com/MLC-1383455993-edificio-pdte-balmaceda-1-bod-vista-norte-piso-14-_JM#position=4&search_layout=stack&type=item&tracking_id=9c200f9c-f53b-477e-9c2b-c51dd0a61a24
"Av. Almte. Blanco Encalada 2527, Barrio República, Santiago, RM (Metropolitana)",385.000,Gastos comunes aproximados $ 60.000,37.58 m² totales / 1 dormitorio / 1 baño,3,2023-05-19,Publicado hace 7 días por Assetplan Chile,Edificio Av. Almte. Blanco Encalada (1 Est. 1 Bod.) Vista N,https://www.portalinmobiliario.com/MLC-1654504316-edificio-av-almte-blanco-encalada-1-est-1-bod-vista-n-_JM#position=5&search_layout=stack&type=item&tracking_id=9c200f9c-f53b-477e-9c2b-c51dd0a61a24
"Av. Almte. Blanco Encalada 2527, Barrio República, Santiago, RM (Metropolitana)",370.000,Gastos comunes aproximados $ 65.000,37.58 m² totales / 1 dormitorio / 1 baño,3,2023-05-19,Publicado hace 10 días por Assetplan Chile,Edificio Av. Almte. Blanco Encalada (1 Est. 1 Bod.) Vista N,https://www.portalinmobiliario.com/MLC-1639979762-edificio-av-almte-blanco-encalada-1-est-1-bod-vista-n-_JM#position=6&search_layout=stack&type=item&tracking_id=9c200f9c-f53b-477e-9c2b-c51dd0a61a24
"Matucana 31, Barrio Yungay, Santiago, RM (Metropolitana)",430.000,Gastos comunes aproximados $ 80.000,51.59 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 8 días por Assetplan Chile,Edificio Matucana Vista Oriente Piso 10,https://www.portalinmobiliario.com/MLC-1649847434-edificio-matucana-vista-oriente-piso-10-_JM#position=7&search_layout=stack&type=item&tracking_id=9c200f9c-f53b-477e-9c2b-c51dd0a61a24
"Sta Elena 1722, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",420.000,Gastos comunes aproximados $ 70.000,56.95 m² totales / 3 dormitorios / 2 baños,3,2023-05-19,Publicado hace 8 días por Assetplan Chile,Edificio Sta Elena Vista Poniente Piso 21,https://www.portalinmobiliario.com/MLC-1649847394-edificio-sta-elena-vista-poniente-piso-21-_JM#position=8&search_layout=stack&type=item&tracking_id=9c200f9c-f53b-477e-9c2b-c51dd0a61a24
"Av. Almte. Blanco Encalada 2527, Barrio República, Santiago, RM (Metropolitana)",400.000,Gastos comunes aproximados $ 60.000,38.11 m² totales / 1 dormitorio / 1 baño,3,2023-05-19,Publicado hace 8 días por Assetplan Chile,Edificio Av. Almte. Blanco Encalada (1 Est. 1 Bod.) Vista O,https://www.portalinmobiliario.com/MLC-1382984815-edificio-av-almte-blanco-encalada-1-est-1-bod-vista-o-_JM#position=9&search_layout=stack&type=item&tracking_id=9c200f9c-f53b-477e-9c2b-c51dd0a61a24
"Gral. Bulnes 259, Barrio Yungay, Santiago, RM (Metropolitana)",400.000,Gastos comunes aproximados $ 80.000,42 m² totales / 1 dormitorio / 1 baño,3,2023-05-19,Publicado hace 8 días por Assetplan Chile,Edificio Gral. Bulnes Vista Oriente Piso 5,https://www.portalinmobiliario.com/MLC-1382947783-edificio-gral-bulnes-vista-oriente-piso-5-_JM#position=10&search_layout=stack&type=item&tracking_id=9c200f9c-f53b-477e-9c2b-c51dd0a61a24
