direccion,precio,gastos_comunes,caracteristicas,num_caracteristicas,fecha_descarga,fecha_publicacion,titulo,url
"Lira 245, Santa Isabel, Santiago, RM (Metropolitana)",580.000,Gastos comunes aproximados $ 85.000,58 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 7 días por Assetplan Chile,Edificio Lira (1 Est. 1 Bod.) Vista Sur Piso 1,https://www.portalinmobiliario.com/MLC-1383404993-edificio-lira-1-est-1-bod-vista-sur-piso-1-_JM#position=1&search_layout=stack&type=item&tracking_id=9b492d0d-e1bd-4182-b06b-cd58620eb108
"Av. Almte. Blanco Encalada 2527, Barrio República, Santiago, RM (Metropolitana)",470.000,Gastos comunes aproximados $ 75.000,46.32 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 8 días por Assetplan Chile,Edificio Av. Almte. Blanco Encalada (1 Est. 1 Bod.) Vista N,https://www.portalinmobiliario.com/MLC-1382925919-edificio-av-almte-blanco-encalada-1-est-1-bod-vista-n-_JM#position=2&search_layout=stack&type=item&tracking_id=9b492d0d-e1bd-4182-b06b-cd58620eb108
"Gral. Bulnes 259, Barrio Yungay, Santiago, RM (Metropolitana)",550.000,Gastos comunes aproximados $ 90.000,56 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 8 días por Assetplan Chile,Edificio Gral. Bulnes (1 Est. 1 Bod.) Vista Surponiente Pis,https://www.portalinmobiliario.com/MLC-1649835838-edificio-gral-bulnes-1-est-1-bod-vista-surponiente-pis-_JM#position=3&search_layout=stack&type=item&tracking_id=9b492d0d-e1bd-4182-b06b-cd58620eb108
"Chiloé 1951, Franklin - Biobío, Santiago, RM (Metropolitana)",450.000,Gastos comunes aproximados $ 80.000,48.98 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 8 días por Assetplan Chile,Edificio Chiloé (1 Est. 1 Bod.) Vista Sur Piso 5,https://www.portalinmobiliario.com/MLC-1649868490-edificio-chiloe-1-est-1-bod-vista-sur-piso-5-_JM#position=4&search_layout=stack&type=item&tracking_id=9b492d0d-e1bd-4182-b06b-cd58620eb108
"Matucana 1161, Parque Los Reyes, Santiago, RM (Metropolitana)",522.000,Gastos comunes aproximados $ 95.000,58 m² totales / 3 dormitorios / 2 baños,3,2023-05-19,Publicado hace 8 días por Assetplan Chile,Edificio Matucana (1 Est. 1 Bod.) Vista Norte Piso 21,https://www.portalinmobiliario.com/MLC-1649835460-edificio-matucana-1-est-1-bod-vista-norte-piso-21-_JM#position=5&search_layout=stack&type=item&tracking_id=9b492d0d-e1bd-4182-b06b-cd58620eb108
"Santa Elena 2100 - 2400, San Joaquín, Chile, Santiago, RM (Metropolitana)",548.000,Gastos comunes aproximados $ 93.000,68 m² totales / 2 dormitorios / 1 baño,3,2023-05-19,Publicado hace 59 días por Blue Home,"Santa Elena 2120 -  Departamento 2d2b(4c), Santiago",https://www.portalinmobiliario.com/MLC-1424598368-santa-elena-2120-departamento-2d2b4c-santiago-_JM#position=6&search_layout=stack&type=item&tracking_id=9b492d0d-e1bd-4182-b06b-cd58620eb108
"Santa Isabel, Santa Isabel, Santiago, RM (Metropolitana)",450.000,Gastos comunes aproximados $ 75.000,47 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 6 días por Houm,Departamento Santa Isabel Id: 76181,https://www.portalinmobiliario.com/MLC-1658084924-departamento-santa-isabel-id-76181-_JM#position=7&search_layout=stack&type=item&tracking_id=9b492d0d-e1bd-4182-b06b-cd58620eb108
"Roberto Espinoza, Parque Almagro, Santiago, RM (Metropolitana)",460.000,Gastos comunes aproximados $ 85.000,65 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 6 días por Houm,Departamento Roberto Espinoza Id: 27799,https://www.portalinmobiliario.com/MLC-1658071976-departamento-roberto-espinoza-id-27799-_JM#position=8&search_layout=stack&type=item&tracking_id=9b492d0d-e1bd-4182-b06b-cd58620eb108
"Avenida Manuel Rodríguez 39, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",470.000,Gastos comunes aproximados $ 90.000,50 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 6 días,¡¡ Sin Comisión !! Departamento 2d Y 2b (m) En M. Rodriguez.,https://www.portalinmobiliario.com/MLC-1659411380--sin-comision-departamento-2d-y-2b-m-en-m-rodriguez-_JM#position=9&search_layout=stack&type=item&tracking_id=9b492d0d-e1bd-4182-b06b-cd58620eb108
"Santa Elena 2120, San Joaquín, Chile, Santiago, RM (Metropolitana)",454.000,Gastos comunes aproximados $ 87.000,50 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 1 día por Blue Home,"Santa Elena 2120 -  Departamento 2d2b, Santiago",https://www.portalinmobiliario.com/MLC-1680547886-santa-elena-2120-departamento-2d2b-santiago-_JM#position=10&search_layout=stack&type=item&tracking_id=9b492d0d-e1bd-4182-b06b-cd58620eb108
