direccion,precio,gastos_comunes,caracteristicas,num_caracteristicas,fecha_descarga,fecha_publicacion,titulo,url,latitud,longitud,ciudad
"Santo Domingo 3251, Santiago, Chile, Barrio Yungay, Santiago, RM (Metropolitana)",262.0,Gastos comunes aproximados $ 72.000,35 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 34 días por Blue Home,"Santo Domingo 3251 -  Departamento 1d1b, Santiago",https://www.portalinmobiliario.com/MLC-1372875297-santo-domingo-3251-departamento-1d1b-santiago-_JM#position=1&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.4364604,-70.643372,Santiago
"San Francisco 228, Bulnes, Santiago, RM (Metropolitana)",265.0,Gastos comunes aproximados $ 45.000,19 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio San Francisco Vista Oriente Piso 15,https://www.portalinmobiliario.com/MLC-1382938865-edificio-san-francisco-vista-oriente-piso-15-_JM#position=2&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.036842,-70.7112002,Santiago
"Tarapaca 890, Bulnes, Santiago, RM (Metropolitana)",290.0,Gastos comunes aproximados $ 40.000,32.78 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Tarapaca Vista Poniente Piso 15,https://www.portalinmobiliario.com/MLC-1382947291-edificio-tarapaca-vista-poniente-piso-15-_JM#position=3&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.4476085,-70.6523128,Santiago
"San Diego 313, Parque Almagro, Santiago, RM (Metropolitana)",280.0,Gastos comunes aproximados $ 35.000,25 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 35 días por Assetplan Chile,Edificio San Diego Vista Norte Piso 15,https://www.portalinmobiliario.com/MLC-1531365548-edificio-san-diego-vista-norte-piso-15-_JM#position=5&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.4496313,-70.65108851960295,Santiago
"Santa Elena 1760, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",290.0,Gastos comunes aproximados $ 40.000,28 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Santa Elena Vista Nororiente Piso 18,https://www.portalinmobiliario.com/MLC-1382972141-edificio-santa-elena-vista-nororiente-piso-18-_JM#position=8&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.46697211642239,-70.62792829182791,Santiago
"Sta. Elena 962, Barrio Diez de Julio, Santiago, RM (Metropolitana)",300.0,Gastos comunes aproximados $ 55.000,35.7 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Sta. Elena (1 Bod.) Vista Norponiente Piso 6,https://www.portalinmobiliario.com/MLC-1649847454-edificio-sta-elena-1-bod-vista-norponiente-piso-6-_JM#position=9&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.45431590952381,-70.63156262857143,Santiago
"San Francisco 294, Bulnes, Santiago, RM (Metropolitana)",270.0,Gastos comunes aproximados $ 65.000,26 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio San Francisco (1 Bod.) Vista Norte Piso 23,https://www.portalinmobiliario.com/MLC-1649847396-edificio-san-francisco-1-bod-vista-norte-piso-23-_JM#position=10&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.448165849999995,-70.64645442424822,Santiago
"Raulí 596, Santa Isabel, Santiago, RM (Metropolitana)",300.0,Gastos comunes aproximados $ 50.000,32 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Raulí Vista Oriente Piso 8,https://www.portalinmobiliario.com/MLC-1382925603-edificio-rauli-vista-oriente-piso-8-_JM#position=11&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.4485117,-70.636738,Santiago
"San Francisco 526, San Diego, Santiago, RM (Metropolitana)",290.0,Gastos comunes aproximados $ 50.000,31.97 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio San Francisco Vista Sur Piso 3,https://www.portalinmobiliario.com/MLC-1382994489-edificio-san-francisco-vista-sur-piso-3-_JM#position=12&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.4512115,-70.64638337999625,Santiago
"Amunátegui 620, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",290.0,Gastos comunes aproximados $ 40.000,35.2 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Amunátegui Vista Norte Piso 19,https://www.portalinmobiliario.com/MLC-1382984617-edificio-amunategui-vista-norte-piso-19-_JM#position=13&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.436505419999996,-70.65720278,Santiago
"San Francisco 294, Bulnes, Santiago, RM (Metropolitana)",268.0,Gastos comunes aproximados $ 75.000,26 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio San Francisco Vista Oriente Piso 25,https://www.portalinmobiliario.com/MLC-1382984659-edificio-san-francisco-vista-oriente-piso-25-_JM#position=14&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.448165849999995,-70.64645442424822,Santiago
"Coquimbo 14, Barrio Diez de Julio, Santiago, RM (Metropolitana)",290.0,Gastos comunes aproximados $ 50.000,29 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Coquimbo Vista Sur Piso 3,https://www.portalinmobiliario.com/MLC-1649835470-edificio-coquimbo-vista-sur-piso-3-_JM#position=15&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.453338,-70.6307214,Santiago
"Santiago Concha 1148, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",290.0,Gastos comunes aproximados $ 50.000,27 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Santiago Concha Vista Poniente Piso 8,https://www.portalinmobiliario.com/MLC-1649858896-edificio-santiago-concha-vista-poniente-piso-8-_JM#position=16&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.4734297,-70.6364196,Santiago
"Eleuterio Ramirez 1291, Bulnes, Santiago, RM (Metropolitana)",280.0,Gastos comunes aproximados $ 65.000,27 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Eleuterio Ramirez Vista Oriente Piso 12,https://www.portalinmobiliario.com/MLC-1382925605-edificio-eleuterio-ramirez-vista-oriente-piso-12-_JM#position=17&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.2836903,-70.8736491,Santiago
"Mario Kreutzberger 1520, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",285.0,Gastos comunes aproximados $ 50.000,25 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Mario Kreutzberger Vista Sur Piso 3,https://www.portalinmobiliario.com/MLC-1382947293-edificio-mario-kreutzberger-vista-sur-piso-3-_JM#position=18&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.435916788571426,-70.65894144571429,Santiago
